,keyword,0
1267,많,2
1268,어마어마,2
1269,응원합니다잘,2
1270,극복,2
1271,파괴,2
1272,무제한,2
1273,봤어요잘,2
1274,들어요듣기,2
1275,기원,2
1276,주목,2
1277,든기,2
1278,들고양이,2
1279,귀신이야기,2
1280,고전들,2
1281,어린이들,2
1282,듣기편,2
1283,애잔,2
1284,미안,2
1285,평가,2
1286,감칠맛,2
1287,여성,2
1288,고백,2
1289,좋아요~,2
1290,창작물,2
1291,열망,2
1292,어딘가,2
1293,전형적,2
1294,느낀건,2
1295,추가,2
1296,증명,2
1297,좋겠어요배우,2
1298,담배때문,2
1299,과제,2
1300,언어,2
1301,최고네요^^듣기,2
1302,들었습니다누구,2
1303,눈높이,2
1304,세대,2
1305,섭외,2
1306,절망,2
1307,역설적,2
1308,종류,2
1309,열연,2
1310,에너지,2
1311,프로그램들,2
1312,병원,2
1313,탄생,2
1314,기대합니닿좋네요,2
1315,들었습니다큰,2
1316,한번더,2
1317,니멋대,2
1318,배우목소리,2
1319,엄두,2
1320,소름돋,2
1321,잘되길,2
1322,중간중간,2
1323,성운님,2
1324,소문,2
1325,초보,2
1326,좋아요고전,2
1327,굿굿,2
1328,전설,2
1329,육성,2
1330,ㅠㅠㅠㅠㅠ,2
1331,소양,2
1332,좋네요귀,2
1333,그땐,2
1334,애틋,2
1335,먹먹하,2
1336,좋네,2
1337,찰떡궁합,2
1338,옛날이,2
1339,이번기회,2
1340,두번째이야,2
1341,밀레니엄,2
1342,완역본,2
1343,활자,2
1344,들어야겠네요잘,2
1345,잘들을게요목소리,2
1346,화팅,2
1347,듣겠습니다너무,2
1348,장편,2
1349,풋풋,2
1350,김도연씨,2
1351,원망,2
1352,역사적,2
1353,좋네요역시,2
1354,김유열,2
1355,넘좋네요,2
1356,차분하시,2
1357,몇년,2
1358,채널,2
1359,들을게요~잘,2
1360,핵심,2
1361,핫한,2
1362,재능기부,2
1363,들었습니다좋아요,2
1364,감사합니다아이들에,2
1365,중독,2
1366,감사합니다유익하,2
1367,많은도움,2
1368,편안해서,2
1369,진화,2
1370,좋아요좋아요잘들었습니,2
1371,꿀보이스,2
1372,명배우들,2
1373,영혼,2
1374,봉배우님,2
1375,들었습니다재밌,2
1376,재밌어요~~,2
1377,굿기대되,2
1378,힐링하,2
1379,표지,2
1380,구웃~~,2
1381,평이한,2
1382,깔끔한,2
1383,인문학적,2
1384,대배우님,2
1385,좋은컨텐츠네요,2
1386,제격이네욯,2
1387,^^너무,2
1388,많은분,2
1389,원장님,2
1390,운동,2
1391,듣는다는,2
1392,여인,2
1393,좋아욯ㅎ,2
1394,가요잘,2
1395,타임머신,2
1396,몰입되네요잘,2
1397,들었습니다잘들었습니,2
1398,공유,2
1399,대표배우,2
1400,퀄리티,2
1401,읽어주는시,2
1402,기대됩니다좋아요,2
1403,빠져들게,2
1404,간섭,2
1405,사양산업,2
1406,연륜,2
1407,통근시간,2
1408,뉴스,2
1409,정말정말,2
1410,평,2
1411,빠져드네요,2
1412,모든분들에,2
1413,♡목소리,2
1414,추석,2
1415,오아시스,2
1416,아득,2
1417,기적,2
1418,모든것,2
1419,출시,2
1420,아래,2
1421,기대됩니다기대,2
1422,추천도서,2
1423,이원승씨,2
1424,신세계,2
1425,또박,2
1426,좋아요오랜만,2
1427,으뜸,2
1428,암튼,2
1429,좋아요아이들에,2
1430,평안,2
1431,코메디,2
1432,참여완료,2
1433,긴장,2
1434,거짓,2
1435,억지,2
1436,들었어요도움,2
1437,낭랑,2
1438,기계음,2
1439,식,2
