,title,voice,author,publish
118,[커뮤니케이션이해총서]광고 심의 기준,조재영,조재영,커뮤니케이션북스
119,[커뮤니케이션이해총서]휴리스틱과 설득,윤선길,윤선길,커뮤니케이션북스
120,[커뮤니케이션이해총서]영화 카피,김은영,김은영,커뮤니케이션북스
121,[커뮤니케이션이해총서]그로테스크의 정치학,이창우,이창우,커뮤니케이션북스
122,[커뮤니케이션이해총서]유료 방송 산업의 이해,김희경,김희경,커뮤니케이션북스
123,[커뮤니케이션이해총서]문화예술교육의 이해,이정화,이정화,커뮤니케이션북스
124,[커뮤니케이션이해총서]미디어와 명예훼손,박아란,박아란,커뮤니케이션북스
125,[커뮤니케이션이해총서]문화소비,이정화,이정화,커뮤니케이션북스
126,[커뮤니케이션이해총서]문화환경의 이해,이정화,이정화,커뮤니케이션북스
127,[커뮤니케이션이해총서]영상 스토리텔링의 일반 원리,권승태,권승태,커뮤니케이션북스
128,[커뮤니케이션이해총서]현대 속담,곽은희,곽은희,커뮤니케이션북스
129,[커뮤니케이션이해총서]현대 수수께끼,곽은희,곽은희,커뮤니케이션북스
130,[커뮤니케이션이해총서]모바일 미디어와 일상,송종현,송종현,커뮤니케이션북스
